"A_11PM","A_3AM","A_7AM","A_11AM","A_3PM","A_7PM","B_11PM","B_3AM","B_7AM","B_11AM","B_3PM","B_7PM","GeneSymbol"
"0.00000e+00","0.00000e+00","0.00000e+00","1.03056e-01","0.00000e+00","0.00000e+00","1.40571e-01","0.00000e+00","0.00000e+00","0.00000e+00","0.00000e+00","0.00000e+00","zgc:113078"
"0.00000e+00","6.49996e-02","1.00992e-01","0.00000e+00","4.47444e-02","0.00000e+00","0.00000e+00","3.60892e-02","0.00000e+00","7.88108e-02","0.00000e+00","6.60848e-02","zgc:113078"
"2.21668e+00","2.37069e+00","2.18881e+00","3.75549e+00","2.25404e+00","2.07461e+00","2.63725e+00","1.07490e+00","1.51613e+00","1.98562e+00","2.99429e+00","2.69452e+00","si:ch211-150a22.1"
"1.37035e+00","1.61323e+00","1.86759e+00","6.09528e+00","5.85544e-01","1.95531e+00","4.83743e-01","8.64352e-01","9.48245e-01","1.31649e+00","1.98587e+00","9.29214e-01","zgc:193686"
"7.38928e+00","9.75976e+00","5.92411e+00","5.76110e+00","8.17723e+00","8.88948e+00","9.58117e+00","1.37983e+01","9.67312e+00","7.29081e+00","8.84143e+00","1.05029e+01","zgc:113099"
"1.98782e+01","1.40045e+01","1.33640e+01","1.76083e+01","1.56045e+01","1.67000e+01","1.50558e+01","1.69171e+01","1.29169e+01","1.39194e+01","1.75804e+01","1.42529e+01","arfip1"
"7.61113e+00","5.13098e+00","2.91809e+00","4.83750e+00","4.73383e+00","7.92113e+00","6.44491e+00","6.21211e+00","3.31789e+00","2.69096e+00","4.66857e+00","1.07649e+01","sfrp2"
"0.00000e+00","4.21964e-02","0.00000e+00","1.44622e-01","2.75956e-02","1.21280e-01","0.00000e+00","0.00000e+00","0.00000e+00","7.34267e-02","0.00000e+00","1.81896e-01","FGG"
"1.81181e-01","4.77731e-01","6.63026e-01","1.69551e+00","2.32248e+00","3.95687e-01","1.00396e+00","7.35817e-01","1.06955e+00","1.82019e+00","1.00501e+00","1.07178e+00","zgc:77703"
"2.80035e+00","3.01567e+00","3.14908e+00","2.81448e+00","2.89131e+00","3.20948e+00","2.61193e+00","5.28952e+00","4.40531e+00","5.30434e+00","4.49684e+00","3.66459e+00","zgc:171777"
"2.89730e+01","3.60856e+01","3.78680e+01","4.23822e+01","3.70835e+01","3.40948e+01","3.23894e+01","4.51071e+01","4.45788e+01","4.77973e+01","4.50704e+01","3.60499e+01","pdcd4a"
"8.66197e+00","7.38020e+00","5.52458e+00","5.62936e+00","5.76327e+00","5.90371e+00","9.80659e+00","6.77064e+00","6.69030e+00","6.79202e+00","7.35507e+00","5.72785e+00","zgc:77715"
"1.18725e+00","9.98393e-01","7.47557e-01","6.03437e-01","9.41918e-01","5.33118e-01","1.60597e+00","4.10041e-01","1.55636e+00","3.26410e-01","6.54529e-01","6.00656e-01","zgc:86602"
"3.67682e+01","3.91535e+01","3.50255e+01","3.86107e+01","3.17560e+01","3.22012e+01","3.61902e+01","3.23443e+01","4.11891e+01","3.22118e+01","2.95691e+01","2.91530e+01","anp32b"
